2017-07-11T05:30:59.000Z,ERROR,LoginHandler,"IllegalStateException from the logout session
java.lang.IllegalStateException: invalidate: Session already invalidated
	at org.apache.catalina.session.StandardSession.invalidate(StandardSession.java:1275)
	at org.apache.catalina.session.StandardSessionFacade.invalidate(StandardSessionFacade.java:171)
	at org.something.administrator.remoterepositorymgt.business.LoginHandler.removeSessionIdFromSession(LoginHandler.java:268)
	at org.something.administrator.remoterepositorymgt.business.LoginHandler.removeUserFromSession(LoginHandler.java:257)
	at org.something.administrator.remoterepositorymgt.business.LoginHandler.logoutFromTac(LoginHandler.java:182)
	at org.something.gwtadministrator.server.common.LoginServiceImpl.logout(LoginServiceImpl.java:156)
	at org.something.gwtadministrator.server.common.LoginServiceImpl.logout(LoginServiceImpl.java:140)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at com.google.gwt.user.server.rpc.RPC.invokeAndEncodeResponse(RPC.java:561)
	at com.google.gwt.user.server.rpc.RemoteServiceServlet.processCall(RemoteServiceServlet.java:208)
	at org.something.gwttoolkit.server.somethingRemoteServiceServlet.processCall(somethingRemoteServiceServlet.java:104)
	at com.google.gwt.user.server.rpc.RemoteServiceServlet.processPost(RemoteServiceServlet.java:248)
	at com.google.gwt.user.server.rpc.AbstractRemoteServiceServlet.doPost(AbstractRemoteServiceServlet.java:62)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:648)
	at javax.servlet.http.HttpServlet.service(HttpServlet.java:729)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:292)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207)
	at org.apache.tomcat.websocket.server.WsFilter.doFilter(WsFilter.java:52)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207)
	at org.something.gwttoolkit.server.common.http.HeadersFilter.doFilter(HeadersFilter.java:68)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207)
	at org.something.gwtadministrator.server.remoteconnection.RefererFilter.doFilter(RefererFilter.java:47)
	at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:240)
	at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:207)
	at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:212)
	at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:94)
	at org.apache.catalina.authenticator.AuthenticatorBase.invoke(AuthenticatorBase.java:504)
	at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:141)
	at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:79)
	at org.apache.catalina.valves.AbstractAccessLogValve.invoke(AbstractAccessLogValve.java:620)
	at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:88)
	at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:502)
	at org.apache.coyote.http11.AbstractHttp11Processor.process(AbstractHttp11Processor.java:1132)
	at org.apache.coyote.AbstractProtocol$AbstractConnectionHandler.process(AbstractProtocol.java:684)
	at org.apache.tomcat.util.net.AprEndpoint$SocketProcessor.doRun(AprEndpoint.java:2521)
	at org.apache.tomcat.util.net.AprEndpoint$SocketProcessor.run(AprEndpoint.java:2510)
	at java.util.concurrent.ThreadPoolExecutor.runWorker(ThreadPoolExecutor.java:1142)
	at java.util.concurrent.ThreadPoolExecutor$Worker.run(ThreadPoolExecutor.java:617)
	at org.apache.tomcat.util.threads.TaskThread$WrappingRunnable.run(TaskThread.java:61)
	at java.lang.Thread.run(Thread.java:745)",DESKTOP-ULHBG2D
2017-07-11T08:26:10.000Z,WARN,PatchOrVersionMailSender,Username or password is not correct,DESKTOP-ULHBG2D
2017-07-11T14:26:09.000Z,WARN,PatchOrVersionMailSender,Username or password is not correct,DESKTOP-ULHBG2D
2017-07-12T08:26:10.000Z,WARN,PatchOrVersionMailSender,Username or password is not correct,DESKTOP-ULHBG2D
2017-07-12T09:01:43.000Z,DEBUG,somethingRemoteServiceServlet,106088-Starting 'LoginService.getLoggedUser,DESKTOP-ULHBG2D
2017-07-12T09:01:43.000Z,DEBUG,somethingRemoteServiceServlet,106087-Starting 'ServerMsgService.getIdMessages,DESKTOP-ULHBG2D
2017-07-12T09:01:43.000Z,INFO,somethingRemoteServiceServlet,106087-Finished 'ServerMsgService.getIdMessages' in 0 sec.,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,DEBUG,somethingRemoteServiceServlet,106089-Starting 'ServerMsgService.getMessageByListId,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,DEBUG,UsersCache,ping-10-Wed Jul 12 09:01:44 PDT 2017,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,DEBUG,UsersCache,purge-Wed Jul 12 09:01:44 PDT 2017,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,INFO,somethingRemoteServiceServlet,106088-Finished 'LoginService.getLoggedUser' in 0 sec.,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,INFO,somethingRemoteServiceServlet,106089-Finished 'ServerMsgService.getMessageByListId' in 0 sec.,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,INFO,PropertiesLoader,Bundle '[Ljava.lang.String;@524f795_en' created.,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,INFO,somethingRemoteServiceServlet,106085-Finished 'ConfigService.saveConfigValue' in 2 sec.,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,DEBUG,somethingRemoteServiceServlet,106090-Starting 'ConfigService.check,DESKTOP-ULHBG2D
2017-07-12T09:01:44.000Z,INFO,somethingRemoteServiceServlet,106090-Finished 'ConfigService.check' in 0 sec.,DESKTOP-ULHBG2D
2017-07-12T09:01:45.000Z,INFO,somethingRemoteServiceServlet,106086-Finished 'ConfigService.saveConfigValue' in 2 sec.,DESKTOP-ULHBG2D
2017-07-12T09:01:45.000Z,DEBUG,somethingRemoteServiceServlet,106091-Starting 'ConfigService.check,DESKTOP-ULHBG2D
2017-07-12T09:01:45.000Z,INFO,somethingRemoteServiceServlet,106091-Finished 'ConfigService.check' in 0 sec.,DESKTOP-ULHBG2D
